date,device,device_type,failure,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9
2015-04-10,S1F0GKFX,S,0,232213264,0,0,0,65,243083,0,0,0
2015-05-28,S1F0QF3R,S,1,182617240,2496,0,55,12,236109,0,0,1
2015-08-03,S1F03YZM,S,1,110199904,240,0,0,8,294852,0,0,0
2015-08-02,S1F0S58D,S,0,137031040,0,0,0,12,244171,0,0,0
2015-02-17,S1F0JMRJ,S,0,21060080,0,0,0,39,275000,0,0,14
2015-09-02,S1F122KD,S,0,37281216,0,0,0,8,288411,0,0,0
2015-01-05,S1F135CE,S,0,240655368,0,0,0,11,406229,0,0,0
2015-02-09,S1F0PL0R,S,0,76437040,0,0,0,6,247481,0,0,0
2015-02-06,S1F0RSXC,S,0,156813256,0,0,0,8,141203,0,0,1
2015-06-24,S1F122KD,S,0,7103712,0,0,0,8,245663,0,0,0
2015-05-13,S1F0GSD9,S,0,199288176,0,0,0,12,256748,0,0,0
2015-03-30,S1F09DZQ,S,0,218915328,296,0,3,7,408062,0,0,2
2015-06-04,S1F01R2B,S,0,41108688,0,0,0,17,329866,0,0,3
2015-08-01,S1F122KD,S,0,126523104,0,0,0,8,279895,0,0,0
2015-03-30,S1F10V1N,S,0,62797392,0,0,0,10,421324,0,0,0
2015-05-16,S1F102L8,S,0,107835088,0,0,0,9,196780,0,0,0
2015-04-30,S1F0S387,S,0,232243896,0,2,0,12,271814,0,0,34
2015-08-16,S1F0CVWK,S,0,3360904,2984,0,6,8,391758,0,0,0
2015-01-02,S1F0S7DN,S,0,115818000,0,0,0,8,299242,0,0,0
2015-01-05,S1F0RRB1,S,1,48467332,64776,0,841,8,39267,56,56,1
2015-06-08,S1F0GGPP,S,0,112169800,0,0,0,10,266600,0,0,0
2015-03-11,S1F0RS3B,S,0,166508936,0,0,0,7,270805,0,0,0
2015-05-05,S1F0TP82,S,0,154211752,0,0,0,8,267854,0,0,0
2015-01-19,S1F0TP75,S,0,220826352,0,0,0,10,194393,0,0,0
2015-06-25,S1F0GRB1,S,0,159956152,0,0,0,67,251119,0,0,0
2015-06-14,S1F0KYCR,S,0,9679648,0,0,0,10,268212,0,0,0
2015-02-04,S1F0TPK1,S,0,209775376,0,0,0,11,190011,0,0,0
2015-01-16,S1F135CE,S,0,22295360,0,0,0,11,420857,0,0,0
2015-04-17,S1F13H80,S,1,22815088,10336,0,0,9,222253,0,0,3
2015-01-29,S1F11MB0,S,1,92061968,0,0,0,11,211476,0,0,0
2015-01-19,S1F0GSHB,S,0,83026832,0,0,0,91,241058,0,0,0
2015-01-23,S1F132A5,S,0,45882704,0,0,0,11,242908,0,0,0
2015-02-07,S1F0QZYJ,S,0,239439416,0,0,0,11,274831,0,0,0
2015-09-21,S1F0LBY2,S,0,198516744,0,0,0,12,520647,0,0,0
2015-09-10,S1F12XGM,S,0,159365776,0,0,0,8,305536,0,0,1
2015-01-25,S1F11L11,S,0,236005448,0,0,0,9,425676,0,0,0
2015-02-15,S1F044ET,S,0,173366840,0,0,0,5,255237,0,0,0
2015-01-18,S1F0S5WJ,S,0,22383432,0,0,0,8,141568,0,0,3
2015-02-04,S1F0PEVC,S,0,23292848,0,0,0,6,244004,0,0,1
2015-08-02,S1F10FZB,S,0,123292128,0,0,0,19,369149,0,0,0
2015-04-29,S1F0BWZ3,S,0,74081032,0,0,0,8,374922,0,0,2
2015-04-10,S1F13589,S,0,191500528,0,0,0,16,329583,0,0,0
2015-02-21,S1F135WP,S,0,210872144,0,0,0,11,214710,0,0,0
2015-04-28,S1F0GGPP,S,0,229772160,0,0,0,10,256276,0,0,0
2015-03-23,S1F0TMRF,S,0,188993824,0,0,0,11,270845,0,0,0
2015-01-17,S1F0GG8X,S,0,175691159,64736,0,67,11,192179,0,0,2
2015-03-03,S1F13HPR,S,0,217019568,0,0,0,8,212391,0,0,0
2015-07-19,S1F0GGJD,S,0,97689768,0,0,0,62,217812,0,0,0
2015-05-03,S1F0M2PQ,S,0,26653176,0,0,6,60,248406,0,0,0
2015-01-11,S1F0RRDW,S,0,238692544,0,0,4,8,252409,0,0,0
2015-04-19,S1F0TPMF,S,0,142408040,0,0,0,6,274553,0,0,0
2015-10-10,S1F12XGM,S,0,211848280,0,0,0,8,345696,0,0,1
2015-08-02,S1F13KBJ,S,0,113434176,0,0,0,13,283132,0,0,0
2015-01-13,S1F0PK70,S,0,36711536,0,0,0,7,228043,0,0,0
2015-06-28,S1F03YZM,S,0,106122872,16,0,0,8,268926,0,0,0
2015-01-20,S1F0W45F,S,0,65086248,0,0,0,9,416165,0,0,1
2015-04-07,S1F01R2B,S,0,151294816,0,0,0,17,329804,0,0,3
2015-07-12,S1F0J5JH,S,1,9995856,0,0,0,8,270087,0,0,0
2015-07-13,S1F1360P,S,0,36601832,0,0,0,14,274987,0,0,0
2015-01-21,S1F1162D,S,0,237996792,0,0,0,7,239104,0,0,0
2015-07-16,S1F0S387,S,0,46889224,0,2,0,12,280841,0,0,34
2015-01-06,S1F13KNV,S,0,242652280,0,0,0,9,208044,0,0,0
2015-02-18,S1F0TQCV,S,1,194314640,0,0,0,8,313659,0,0,1
2015-02-20,S1F0S4EG,S,0,180920912,0,0,0,6,261757,0,0,0
